"region","country","country_code","age_group","age_lower","age_upper","pop_date","pop_male","pop_female","pop_both"
"Europe","Ukraine","UKR","'90+",90,NA,2020-01-01,"66224","193555","259779"
"Europe","Ukraine","UKR","'Total",NA,NA,2020-01-01,"19343440","22389339","41732779"
"Europe","England & Wales","EAW","'<1",0,0,2018-06-30,"343642","326155","669797"
"Europe","England & Wales","EAW","'1-4",1,4,2018-06-30,"1458885","1386748","2845633"
"Europe","England & Wales","EAW","'5-9",5,9,2018-06-30,"1898484","1809836","3708320"
"Europe","England & Wales","EAW","'10-14",10,14,2018-06-30,"1768144","1682638","3450782"
"Europe","England & Wales","EAW","'15-19",15,19,2018-06-30,"1680191","1590604","3270795"
"Europe","England & Wales","EAW","'20-24",20,24,2018-06-30,"1913637","1804323","3717960"
"Europe","England & Wales","EAW","'25-29",25,29,2018-06-30,"2040911","1981361","4022272"
"Europe","England & Wales","EAW","'30-34",30,34,2018-06-30,"1983871","1992159","3976030"
"Europe","England & Wales","EAW","'35-39",35,39,2018-06-30,"1936734","1964167","3900901"
"Europe","England & Wales","EAW","'40-44",40,44,2018-06-30,"1769761","1790194","3559955"
"Europe","England & Wales","EAW","'45-49",45,49,2018-06-30,"1980181","2025216","4005397"
"Europe","England & Wales","EAW","'50-54",50,54,2018-06-30,"2039373","2097758","4137131"
"Europe","England & Wales","EAW","'55-59",55,59,2018-06-30,"1866897","1918667","3785564"
"Europe","England & Wales","EAW","'60-64",60,64,2018-06-30,"1585580","1648446","3234026"
"Europe","England & Wales","EAW","'65-69",65,69,2018-06-30,"1455983","1550793","3006776"
"Europe","England & Wales","EAW","'70-74",70,74,2018-06-30,"1389405","1510747","2900152"
"Europe","England & Wales","EAW","'75-79",75,79,2018-06-30,"918891","1066234","1985125"
"Europe","England & Wales","EAW","'80-84",80,84,2018-06-30,"655504","836293","1491797"
"Europe","England & Wales","EAW","'85-89",85,89,2018-06-30,"362168","556269","918437"
"Europe","England & Wales","EAW","'90+",90,NA,2018-06-30,"167009","361950","528959"
"Europe","England & Wales","EAW","'Total",NA,NA,2018-06-30,"29215251","29900558","59115809"
"Asia","Japan","JPN","'0-9",0,9,2020-09-01,"4979000","4744000","9723000"
